UID,Name,Age,Education,Gender,Starttime,Endtime,Duration,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,FQ1,FQ2,FQ3,FQ4,FQ5,FQ6,FQ7,FQ8,FQ9,FQ10,FQ11,FQ12
275,Salma,21-30,Undergraduate,Female,4/27/2025 14:55,4/27/2025 14:59,0:03:22,disagree,strongly_agree,agree,strongly_agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,no,Quality,Online,consumer,.,Strongly Agree,Strongly Agree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Strongly Agree,Agree,Neutral,Agree,NULL,Disagree
276,Malak,21-30,Bachelor,Female,4/27/2025 15:31,4/27/2025 15:40,0:08:48,agree,agree,agree,disagree,agree,agree,disagree,agree,disagree,agree,disagree,agree,partially,Price,Online,public_authorities,NULL,Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Agree,NULL,Agree
277,Salma,21-30,Postgraudate_Degree,Female,4/27/2025 15:37,4/27/2025 15:46,0:08:31,agree,strongly_agree,agree,agree,disagree,agree,strongly_agree,agree,agree,disagree,agree,agree,partially,Price,Online,public_authorities,Government laws,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
278,Hisham El Sanabary,31-40,Bachelor,Male,4/27/2025 20:04,4/27/2025 20:12,0:08:04,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,Definitely_not,Quality,In_Store,consumer,Consumer awareness and education about ethical fashion to stop fast fashion from expanding negatively,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
279,Ziad,21-30,Bachelor,Male,4/27/2025 20:24,4/27/2025 20:29,0:05:19,agree,agree,disagree,disagree,agree,agree,strongly_disagree,disagree,agree,agree,agree,agree,no,Quality,In_Store,public_authorities,Governments fine clothing industries,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
280,Arwa,21-30,Undergraduate,Female,4/28/2025 8:19,4/28/2025 8:27,0:08:30,agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,disagree,disagree,agree,partially,Quality,In_Store,public_authorities,More taxes on them if they continue to produce in an unethical way,Agree,Agree,Agree,Extremely Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Agree,Agree,Agree,NULL,Agree
282,Nour,16-20,Undergraduate,Female,4/28/2025 10:38,4/28/2025 10:42,0:03:45,agree,strongly_agree,agree,agree,strongly_agree,agree,strongly_disagree,agree,disagree,strongly_disagree,strongly_agree,strongly_agree,no,Brand,Online,public_authorities,Supporting local brands,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
283,Rwan,16-20,Undergraduate,Female,4/28/2025 10:38,4/28/2025 10:48,0:10:18,disagree,strongly_agree,strongly_agree,disagree,disagree,agree,agree,disagree,strongly_agree,disagree,agree,strongly_agree,Definitely,Quality,In_Store,public_authorities,No idea,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
286,Malak tarek,16-20,Undergraduate,Female,4/28/2025 10:40,4/28/2025 10:56,0:15:54,strongly_agree,agree,disagree,disagree,disagree,agree,disagree,disagree,agree,strongly_agree,agree,agree,no,Style/Brand,In_Store,public_authorities,Local brands,Strongly Agree,Agree,Neutral,Slightly Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Neutral,NULL,Strongly Agree
287,basmala sayed,16-20,Undergraduate,Female,4/28/2025 10:40,4/28/2025 10:44,0:03:52,agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,disagree,strongly_agree,disagree,agree,disagree,strongly_agree,no,Style/Brand,In_Store,public_authorities,materials and prices,Agree,Agree,Neutral,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,NULL,Agree
291,Haneen mostafa,16-20,Undergraduate,Female,4/28/2025 10:41,4/28/2025 10:49,0:07:25,agree,agree,strongly_agree,disagree,strongly_agree,disagree,agree,agree,agree,strongly_agree,agree,strongly_agree,no,Style/Brand,In_Store,public_authorities,Improving fast fashion companies,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
293,Tasneem,16-20,Undergraduate,Female,4/28/2025 10:41,4/28/2025 10:51,0:10:11,strongly_agree,disagree,agree,disagree,strongly_agree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,agree,strongly_agree,no,Price,In_Store,public_authorities,Promoting sustainable clothing that lasts longer to avoiding repurchasing. Limiting the normalization of overconsumption and microtrends that require a new article of clothing every few weeks. Companies need to stop cutting corners when it comes to cost and properly pay their workers.,Agree,Disgree,Agree,Slightly Helpful,The survey effectively made me think about fast fashion.,Neutral,Neutral,Agree,Agree,Agree,NULL,Neutral
295,Youssef,21-30,Undergraduate,Male,4/28/2025 10:42,4/28/2025 10:45,0:02:34,disagree,strongly_disagree,disagree,strongly_disagree,agree,strongly_disagree,disagree,strongly_agree,strongly_agree,disagree,agree,disagree,yes,Style/Brand,Online,public_authorities,NULL,Neutral,Disgree,Disgree,Slightly Helpful,It was easy for me to answer and finish the survey questions.,Disgree,Neutral,Agree,Disgree,Strongly Agree,NULL,Agree
297,Ammar Ahmed,16-20,Undergraduate,Male,4/28/2025 10:42,4/28/2025 10:44,0:02:07,disagree,strongly_agree,disagree,strongly_disagree,agree,strongly_agree,NULL,disagree,disagree,strongly_agree,strongly_agree,disagree,no,Brand,In_Store,consumer,.,Strongly Agree,Disgree,Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Neutral,Disgree,Neutral,NULL,Strongly Agree
299,Mostafa Mahmood,16-20,Undergraduate,Male,4/28/2025 10:43,4/28/2025 10:49,0:06:10,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,agree,agree,strongly_agree,strongly_agree,disagree,no,Quality,Online,public_authorities,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Neutral,Neutral,NULL,Agree
301,Nooreldeen yasser,16-20,Undergraduate,Male,4/28/2025 10:45,4/28/2025 10:51,0:05:33,agree,disagree,disagree,agree,strongly_agree,disagree,strongly_agree,disagree,strongly_agree,agree,disagree,disagree,no,Quality,In_Store,public_authorities,Dont know,Agree,Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Agree,Neutral,Neutral,NULL,Strongly Agree
307,Mohamed salah,21-30,Undergraduate,Male,4/28/2025 10:46,4/28/2025 10:55,0:08:26,agree,agree,agree,strongly_agree,agree,disagree,strongly_disagree,agree,strongly_disagree,agree,strongly_agree,agree,no,Quality,Online,public_authorities,Spreading awareness,Strongly Agree,Agree,Strongly Agree,Moderately Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Agree,Strongly Agree,Agree,It was amazing,Strongly Agree
308,Georgio Mina,21-30,Undergraduate,Male,4/28/2025 10:46,4/28/2025 10:50,0:03:41,strongly_agree,agree,agree,strongly_agree,strongly_agree,disagree,strongly_agree,agree,strongly_disagree,strongly_agree,disagree,agree,Definitely,Quality,Online,public_authorities,Idk,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
312,Laila,16-20,Undergraduate,Female,4/28/2025 10:49,4/28/2025 10:54,0:04:56,agree,agree,agree,strongly_agree,disagree,agree,agree,agree,agree,disagree,agree,agree,yes,Price,In_Store,public_authorities,Instagram and social media affects ur style,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
313,Lojine Hantera,16-20,Undergraduate,Female,4/28/2025 10:49,4/28/2025 10:52,0:02:30,agree,agree,agree,strongly_agree,agree,agree,disagree,disagree,strongly_agree,agree,NULL,agree,yes,Ethicality,Online,consumer,NULL,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
314,Lara Tamer,21-30,Undergraduate,Female,4/28/2025 10:49,4/28/2025 10:52,0:02:23,agree,strongly_agree,strongly_disagree,agree,agree,strongly_agree,agree,disagree,disagree,agree,NULL,agree,yes,Quality,In_Store,consumer,Less price,Neutral,Strongly Agree,Neutral,Moderately Helpful,People I know were interested in or sent me that survey.,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Price less,Strongly Agree
315,Touqa,21-30,Undergraduate,Female,4/28/2025 10:49,4/28/2025 10:55,0:06:16,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,partially,Quality,In_Store,public_authorities,Using good quality,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
321,maria maged,16-20,Undergraduate,Female,4/28/2025 10:54,4/28/2025 11:04,0:09:53,agree,agree,agree,agree,NULL,agree,agree,agree,disagree,agree,agree,strongly_agree,partially,Quality,Online,consumer,social media,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,"The survey was interesting, and I enjoyed answering it.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,soo good,Strongly Agree
323,Maya Elmetwaly,16-20,Undergraduate,Female,4/28/2025 10:56,4/28/2025 11:02,0:06:27,agree,agree,agree,agree,agree,disagree,strongly_disagree,strongly_disagree,disagree,disagree,disagree,agree,partially,Quality,Online,consumer,NULL,Strongly Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
326,Jana Am,21-30,Undergraduate,Female,4/28/2025 10:56,4/28/2025 10:59,0:02:22,agree,agree,strongly_agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,Definitely,Quality,Online,public_authorities,Disagree,Neutral,Neutral,Neutral,Very Helpful,It was easy for me to answer and finish the survey questions.,Neutral,Neutral,Neutral,Neutral,Neutral,NULL,Strongly Disagree
329,nada yousry,21-30,Bachelor,Female,4/28/2025 11:17,4/28/2025 11:22,0:04:59,agree,agree,agree,agree,agree,agree,disagree,disagree,strongly_disagree,disagree,agree,agree,partially,Quality,Online,public_authorities,awarness,Strongly Agree,Agree,Strongly Agree,Extremely Helpful,People I know were interested in or sent me that survey.,Agree,Agree,Agree,Agree,Agree,NULL,Neutral
332,Aya Farahat,21-30,Bachelor,Female,4/28/2025 11:17,4/28/2025 11:28,0:11:23,strongly_agree,agree,agree,agree,disagree,disagree,agree,agree,agree,agree,disagree,agree,partially,Quality,Online,public_authorities,Provide more sustainable fashion options with affordable prices for us to purchase from,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,The survey effectively made me think about fast fashion.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Strongly Agree
362,juds,16-20,Undergraduate,Female,4/28/2025 11:18,4/28/2025 11:29,0:10:51,agree,strongly_agree,agree,disagree,disagree,strongly_agree,disagree,disagree,strongly_disagree,agree,disagree,strongly_agree,yes,Quality,In_Store,public_authorities,find ways to produce clothes & other things with minimal damage to the earths environment,Strongly Agree,Agree,Neutral,Moderately Helpful,People I know were interested in or sent me that survey.,Neutral,Strongly Disgree,Strongly Disgree,Disgree,Agree,NULL,Neutral
366,Esraa,21-30,Undergraduate,Female,4/28/2025 11:20,4/28/2025 11:31,0:11:21,strongly_agree,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,disagree,agree,partially,Style/Brand,Online,public_authorities,.,Agree,Agree,Agree,Very Helpful,The survey effectively made me think about fast fashion.,Agree,Agree,Agree,Agree,Agree,NULL,Strongly Agree
367,Shahd sherif,21-30,Undergraduate,Female,4/28/2025 11:20,4/28/2025 11:31,0:10:49,strongly_agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,disagree,agree,Definitely,Price,Online,public_authorities,When materials are from environmental safe sources,Agree,Agree,Strongly Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Agree,Agree,Agree,NULL,Agree
368,Haya elshenawy,21-30,Undergraduate,Female,4/28/2025 11:20,4/28/2025 11:32,0:12:12,agree,agree,agree,disagree,disagree,agree,agree,agree,disagree,agree,disagree,agree,partially,Price,In_Store,public_authorities,If the environmentally friendly materials that are used by the producers are cheaper that would defiantly affect production,Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Strongly Agree,Agree,Strongly Agree,NULL,Strongly Agree
379,Nour Jad,21-30,Undergraduate,Female,4/28/2025 18:49,4/28/2025 18:55,0:06:04,agree,strongly_agree,strongly_agree,disagree,strongly_agree,disagree,strongly_disagree,agree,disagree,agree,strongly_agree,strongly_agree,yes,Quality,Online,public_authorities,forcing laws for brands to follow while designing and get fined if not followed,Strongly Agree,Strongly Agree,Strongly Agree,Very Helpful,It was easy for me to answer and finish the survey questions.,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,NULL,Agree
382,Yassin Chaddad,21-30,Bachelor,Male,4/29/2025 12:47,4/29/2025 12:56,0:08:46,strongly_disagree,agree,strongly_agree,strongly_agree,agree,agree,strongly_disagree,strongly_agree,agree,strongly_agree,agree,strongly_agree,Definitely_not,Quality,In_Store,public_authorities,Boycotting the brands and applying penalties,Strongly Agree,Agree,Strongly Agree,Moderately Helpful,It was easy for me to answer and finish the survey questions.,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
383,dr ahmed doma,61+,Postgraudate_Degree,Male,4/29/2025 18:33,4/29/2025 18:41,0:07:35,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,partially,Quality,Online,public_authorities,the quality of the cloth is a main factor,Strongly Agree,Strongly Agree,Strongly Agree,Extremely Helpful,People I know were interested in or sent me that survey.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NULL,Agree
384,Malak,21-30,Undergraduate,Female,4/30/2025 13:16,4/30/2025 14:02,0:46:02,agree,strongly_agree,agree,agree,strongly_agree,agree,disagree,agree,disagree,disagree,disagree,agree,partially,Quality,Online,public_authorities,"ChatGPT said: To reduce fast fashion’s environmental impact, we should focus on sustainable production, recycling clothes, and supporting ethical brands. Consumers and governments both play key roles in promoting eco-friendly choices.",Strongly Agree,Agree,Agree,Very Helpful,"The survey was interesting, and I enjoyed answering it.",Agree,Agree,Neutral,Agree,Agree,NULL,Agree
